,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0
1,-1.109,2.563,-3.0210000000000004,-2.065,1.912,2.197,2.441,1.984,1.577,-0.40700000000000003,-1.261,1.2209999999999999,1.3630000000000002,-2.045,-5.666,-12.39,-1.76,-1.3530000000000002,-4.618,-5.747000000000001,-1.953,-2.004,-4.293,-3.5810000000000004,-3.215,-4.852,-3.927,-2.8689999999999998,-4.74,-3.286,-2.4819999999999998,-1.455,-1.587,-0.183,-1.811,0.23399999999999999,0.5489999999999999,-0.956,-0.6509999999999999,-0.244,1.3330000000000002,-1.77,-3.215,0.387,2.8280000000000003,-5.157,-4.059,2.472,-3.4789999999999996,-2.452,-3.9160000000000004,-3.489,-0.264,-0.519,-3.662,-4.69,2.452,-3.194,-4.242,-2.838,-3.326,-1.3630000000000002,-4.079,-3.805
2,-2.085,0.122,-5.462999999999999,-4.018,0.9359999999999999,1.2209999999999999,1.465,0.519,0.11199999999999999,-2.8480000000000003,-3.7030000000000003,0.244,0.387,-4.974,-5.666,-13.855,-2.248,-1.841,-5.107,-7.212000000000001,-2.441,-2.004,-4.293,-4.5569999999999995,-3.7030000000000003,-6.317,-4.9030000000000005,-3.845,-5.229,-3.7739999999999996,-2.97,-2.92,-4.5169999999999995,-1.6480000000000001,-4.74,-2.207,-1.892,-3.398,-2.6039999999999996,-1.2209999999999999,-0.132,-3.7230000000000003,-4.191,-0.59,1.3630000000000002,-7.599,-5.035,1.495,-3.4789999999999996,-3.428,-3.428,-4.466,-0.753,-0.519,-4.15,-6.154,1.475,-3.682,-4.242,-3.326,-3.815,-1.3630000000000002,-5.544,-5.757999999999999
3,-2.085,-1.831,-6.9270000000000005,-4.506,-0.529,0.244,0.977,0.031,-1.841,-4.801,-5.656000000000001,-0.244,-0.102,-7.416,-4.69,-14.832,-2.248,-2.818,-5.107,-9.165,-1.953,-2.492,-4.293,-5.046,-3.7030000000000003,-8.27,-5.391,-4.822,-5.7170000000000005,-4.262,-3.4589999999999996,-5.361000000000001,-6.957999999999999,-3.6010000000000004,-7.67,-3.6719999999999997,-3.3569999999999998,-5.351,-3.5810000000000004,-2.197,-1.109,-5.676,-4.678999999999999,-1.567,0.387,-9.552,-5.524,0.519,-2.991,-4.893,-3.9160000000000004,-5.931,-0.753,-0.519,-5.127000000000001,-7.131,0.987,-4.171,-4.73,-3.815,-3.326,-1.3630000000000002,-7.985,-7.711
4,-1.597,-2.8080000000000003,-7.416,-3.53,-1.0170000000000001,0.244,0.977,0.031,-2.818,-5.29,-6.144,0.244,-0.102,-7.904,-4.69,-16.296,-1.76,-3.306,-4.618,-10.63,-1.953,-3.469,-3.805,-6.022,-4.678999999999999,-9.735,-5.391,-5.31,-6.694,-4.751,-3.947,-6.8260000000000005,-6.957999999999999,-4.578,-8.647,-3.6719999999999997,-2.8689999999999998,-5.351,-3.5810000000000004,-2.197,-1.109,-6.165,-4.678999999999999,-1.078,-0.102,-11.017000000000001,-5.524,0.031,-2.502,-5.87,-4.405,-6.907,-0.753,-1.0070000000000001,-5.615,-8.107999999999999,0.987,-5.147,-5.707000000000001,-4.303,-3.326,-1.851,-9.45,-9.176
5,-2.085,-2.319,-6.439,-1.577,-0.529,1.2209999999999999,1.465,1.0070000000000001,-1.841,-4.313,-4.678999999999999,0.732,0.387,-6.9270000000000005,-4.69,-16.785,-1.272,-2.818,-4.618,-9.654,-1.953,-4.445,-4.293,-6.51,-5.167999999999999,-10.222999999999999,-5.391,-5.797999999999999,-7.182,-5.727,-4.9239999999999995,-7.314,-5.492999999999999,-3.6010000000000004,-7.67,-2.207,-1.4040000000000001,-4.374,-3.092,-0.732,-0.132,-5.676,-3.7030000000000003,-0.59,0.387,-10.529000000000002,-5.524,1.0070000000000001,-2.502,-5.381,-5.381,-7.395,-0.753,-0.519,-6.5920000000000005,-9.084,1.475,-6.124,-7.66,-4.791,-3.815,-1.851,-9.939,-10.152000000000001
6,-2.085,-1.3430000000000002,-4.974,-0.6,0.9359999999999999,2.197,2.441,2.472,-0.376,-2.8480000000000003,-3.215,1.709,1.3630000000000002,-4.974,-6.154,-17.761,-1.272,-1.3530000000000002,-4.618,-8.189,-2.441,-4.445,-4.781000000000001,-6.022,-5.656000000000001,-8.759,-5.88,-6.287000000000001,-7.67,-6.215,-5.412000000000001,-7.314,-3.54,-2.136,-5.229,-0.743,0.061,-3.398,-2.6039999999999996,0.732,0.35600000000000004,-4.211,-3.215,0.875,1.851,-9.064,-5.524,1.984,-2.991,-4.405,-4.893,-6.419,-0.753,-0.031,-6.5920000000000005,-8.107999999999999,1.963,-6.124,-8.636000000000001,-4.791,-4.303,-2.34,-8.962,-9.176
7,-2.574,0.122,-2.533,-1.088,1.912,2.6860000000000004,2.93,2.96,1.088,-1.383,-2.7260000000000004,2.197,1.3630000000000002,-3.998,-7.131,-17.761,-1.272,-0.865,-4.13,-5.747000000000001,-2.441,-3.957,-4.781000000000001,-5.046,-5.656000000000001,-6.805,-4.9030000000000005,-5.31,-7.182,-5.239,-4.435,-6.337000000000001,-2.563,-1.16,-3.2760000000000002,-0.254,0.5489999999999999,-3.398,-2.6039999999999996,1.2209999999999999,0.8440000000000001,-2.747,-2.238,1.3630000000000002,2.8280000000000003,-7.599,-5.035,2.472,-2.502,-2.94,-3.428,-3.977,-0.753,-0.031,-6.104,-6.154,2.452,-5.636,-7.66,-4.303,-4.303,-1.851,-7.0089999999999995,-7.222
8,-2.574,0.122,0.397,-3.042,1.912,2.6860000000000004,2.93,2.472,1.088,-1.383,-3.7030000000000003,1.709,1.3630000000000002,-3.51,-6.643,-16.785,-1.272,0.11199999999999999,-4.13,-3.7939999999999996,-2.441,-2.492,-3.805,-3.092,-4.191,-4.364,-3.927,-3.3569999999999998,-5.229,-3.286,-1.994,-4.873,-2.075,-1.16,-2.787,-0.743,0.061,-3.398,-2.6039999999999996,1.2209999999999999,0.35600000000000004,-1.77,-2.238,1.3630000000000002,2.34,-5.646,-4.059,2.472,-2.0140000000000002,-1.963,-1.963,-1.536,-0.753,0.45799999999999996,-3.662,-2.736,1.963,-3.682,-5.707000000000001,-2.838,-3.326,-1.3630000000000002,-4.567,-4.781000000000001
9,-2.574,0.122,2.838,-4.995,1.4240000000000002,1.709,1.953,1.495,0.6,-2.36,-5.167999999999999,0.732,0.875,-3.998,-4.69,-14.832,-1.272,-0.376,-3.153,-2.33,-1.953,-1.516,-2.34,-1.139,-2.7260000000000004,-2.411,-1.973,-0.9159999999999999,-2.787,-0.8440000000000001,0.9359999999999999,-2.431,-2.563,-2.136,-3.2760000000000002,-2.207,-0.9159999999999999,-3.886,-3.092,-0.244,-0.621,-1.77,-2.7260000000000004,-0.102,1.851,-4.669,-3.082,1.495,-1.526,-1.475,-0.498,0.41700000000000004,-0.753,-0.031,-0.732,0.193,0.987,-1.2409999999999999,-3.265,-1.3730000000000002,-1.8619999999999999,-0.875,-2.126,-2.34
10,-2.085,-0.366,3.815,-6.46,0.44799999999999995,0.244,0.977,-0.946,-0.376,-3.825,-6.144,-0.732,-0.102,-3.998,-2.248,-12.39,-1.272,-1.3530000000000002,-2.665,-1.841,-0.977,-1.0270000000000001,-0.875,-0.163,-1.261,-1.923,-0.02,0.061,-1.3219999999999998,1.109,2.889,-0.478,-3.54,-2.625,-3.764,-3.6719999999999997,-0.9159999999999999,-3.398,-3.092,-1.709,-0.621,-2.258,-2.7260000000000004,-1.567,0.875,-3.693,-2.106,1.0070000000000001,-1.038,-1.475,-0.01,1.3940000000000001,-0.264,-0.519,1.2209999999999999,1.6580000000000001,0.01,0.22399999999999998,-1.801,-0.397,-0.885,-0.387,-1.149,-1.3630000000000002
11,-2.574,-0.366,2.35,-6.9479999999999995,-0.040999999999999995,-0.244,0.488,-1.4340000000000002,-0.376,-5.29,-5.167999999999999,-1.709,-0.102,-4.486000000000001,-0.7829999999999999,-11.902000000000001,-0.7829999999999999,-2.33,-1.689,-2.33,-0.488,-1.0270000000000001,0.102,-0.163,-0.285,-2.411,0.956,0.5489999999999999,-0.8340000000000001,1.597,2.889,0.01,-5.005,-3.113,-3.764,-4.649,0.5489999999999999,-3.886,-2.6039999999999996,-3.174,-0.132,-2.747,-2.238,-2.543,0.387,-3.693,-1.129,0.031,-0.5489999999999999,-1.963,-0.01,1.3940000000000001,0.22399999999999998,-1.0070000000000001,2.197,1.17,0.01,0.7120000000000001,-1.801,-0.397,0.092,0.102,-1.6380000000000001,-1.851
12,-2.574,-0.366,0.397,-6.46,-0.529,-0.244,0.488,-1.923,0.11199999999999999,-6.266,-3.7030000000000003,-1.709,-0.102,-4.486000000000001,-0.7829999999999999,-13.367,0.193,-2.818,-1.2,-2.818,-0.488,-1.516,0.102,-1.139,-0.773,-3.387,1.444,0.061,-1.811,0.621,1.912,-1.455,-6.47,-3.113,-2.787,-5.625,2.991,-4.374,-2.116,-3.662,0.35600000000000004,-3.7230000000000003,-0.773,-3.031,0.387,-4.669,-0.153,-0.45799999999999996,-0.061,-2.452,0.478,0.905,0.22399999999999998,-1.0070000000000001,1.709,-0.295,0.01,0.22399999999999998,-2.7769999999999997,-0.885,0.092,0.102,-3.103,-2.8280000000000003
13,-3.062,-0.8540000000000001,-1.068,-5.971,-1.0170000000000001,-0.244,0.488,-1.923,0.11199999999999999,-6.755,-2.7260000000000004,-1.2209999999999999,0.387,-5.462999999999999,-0.7829999999999999,-15.808,0.682,-2.818,-0.22399999999999998,-3.7939999999999996,0.0,-2.004,-0.387,-1.6280000000000001,-1.261,-3.8760000000000003,1.933,0.061,-2.787,0.132,0.9359999999999999,-4.3839999999999995,-7.935,-4.0889999999999995,-2.299,-5.625,4.456,-5.8389999999999995,-2.116,-3.174,0.8440000000000001,-4.211,1.18,-2.543,0.387,-5.646,0.336,-0.45799999999999996,0.42700000000000005,-2.452,1.455,0.905,0.22399999999999998,-1.0070000000000001,0.732,-1.272,0.01,-0.264,-4.73,-1.3730000000000002,-0.397,0.102,-4.079,-4.293
14,-3.062,-1.831,-0.58,-5.483,-1.0170000000000001,-0.732,-0.488,-1.4340000000000002,-0.376,-6.755,-2.238,-0.732,-0.102,-6.439,-0.7829999999999999,-17.761,1.17,-2.818,0.264,-4.283,0.488,-2.004,0.102,-1.6280000000000001,-1.261,-3.8760000000000003,1.933,-0.42700000000000005,-2.299,0.132,0.9359999999999999,-6.337000000000001,-7.935,-5.553999999999999,-3.2760000000000002,-5.625,4.944,-6.816,-2.6039999999999996,-2.6860000000000004,0.8440000000000001,-4.7,2.157,-3.031,-0.102,-5.646,0.8240000000000001,-0.45799999999999996,1.4040000000000001,-1.963,1.943,0.905,0.22399999999999998,-1.0070000000000001,0.732,-1.272,0.01,-0.264,-4.73,-0.885,0.092,0.102,-4.567,-4.293
15,-2.574,-2.319,1.8619999999999999,-5.483,-1.506,-1.2209999999999999,-0.977,-1.4340000000000002,-1.841,-5.778,-3.7030000000000003,-0.732,-0.59,-6.9270000000000005,0.193,-18.25,1.17,-1.841,0.753,-4.283,0.977,-1.0270000000000001,0.59,-0.6509999999999999,-0.773,-2.8989999999999996,1.933,0.5489999999999999,-1.811,0.621,1.912,-4.873,-5.492999999999999,-6.531000000000001,-5.229,-4.649,3.967,-6.327000000000001,-3.092,-1.709,-0.132,-3.7230000000000003,2.645,-3.52,-1.078,-4.669,1.3119999999999998,-0.946,1.4040000000000001,-1.475,2.92,0.41700000000000004,0.22399999999999998,-0.519,0.732,-0.7829999999999999,-0.478,0.22399999999999998,-4.242,-0.397,0.58,0.59,-3.591,-3.3160000000000003
16,-1.597,-1.831,4.303,-5.483,-1.0170000000000001,-0.732,-0.977,-1.4340000000000002,-2.33,-4.313,-4.678999999999999,-0.732,-1.078,-6.439,1.6580000000000001,-15.808,1.17,-0.865,0.264,-3.7939999999999996,1.465,-0.539,0.59,-0.163,-0.773,-2.411,1.933,0.5489999999999999,-1.3219999999999998,1.109,2.889,-0.966,-1.587,-7.019,-6.694,-4.1610000000000005,3.4789999999999996,-5.351,-3.092,-1.2209999999999999,-0.621,-2.747,2.157,-3.52,-1.567,-3.693,0.8240000000000001,-0.946,1.4040000000000001,-0.987,1.943,-0.071,0.22399999999999998,-0.031,1.2209999999999999,0.193,-0.966,0.7120000000000001,-3.265,-0.397,0.58,0.59,-1.6380000000000001,-1.3630000000000002
17,-0.132,0.122,5.28,-5.483,-0.040999999999999995,0.244,-0.488,-0.45799999999999996,-1.841,-2.8480000000000003,-4.678999999999999,-0.732,-0.59,-4.486000000000001,1.6580000000000001,-12.878,0.682,0.11199999999999999,-0.7120000000000001,-3.306,0.977,-0.539,0.102,-0.6509999999999999,-1.261,-2.411,0.956,0.061,-1.811,0.621,2.401,3.428,2.319,-5.553999999999999,-6.205,-3.1839999999999997,3.4789999999999996,-3.398,-1.6280000000000001,-0.244,-0.132,-1.77,1.6680000000000001,-3.52,-1.078,-2.716,-0.153,0.031,0.9159999999999999,-0.498,0.966,-1.048,0.22399999999999998,0.45799999999999996,0.732,0.193,-0.966,0.7120000000000001,-2.7769999999999997,-0.397,0.092,0.59,0.804,0.59
18,1.821,2.563,4.791,-4.506,1.912,1.709,1.465,0.519,0.11199999999999999,-1.383,-3.7030000000000003,-0.244,0.387,-3.0210000000000004,0.193,-10.437000000000001,0.682,0.6,-1.2,-2.33,0.0,-0.539,-1.3630000000000002,-1.139,-2.238,-2.8989999999999996,-0.509,-0.9159999999999999,-2.787,-0.35600000000000004,1.4240000000000002,6.358,4.272,-2.625,-3.764,-1.719,4.456,-1.933,0.326,1.2209999999999999,0.8440000000000001,-0.305,0.6920000000000001,-2.055,0.875,-2.228,-0.6409999999999999,1.984,-0.061,-0.498,-0.498,-1.048,0.22399999999999998,0.45799999999999996,0.244,-0.7829999999999999,-0.478,-0.753,-3.265,-0.885,-1.3730000000000002,0.102,2.7569999999999997,2.055
19,2.7969999999999997,4.0280000000000005,3.326,-2.553,3.377,3.662,2.441,2.472,2.065,-0.40700000000000003,-1.75,1.2209999999999999,1.3630000000000002,-1.068,-1.76,-8.972000000000001,0.193,1.088,-1.689,-1.3530000000000002,-0.488,-0.539,-1.851,-1.6280000000000001,-2.7260000000000004,-2.8989999999999996,-0.997,-1.892,-4.252,-0.8440000000000001,0.44799999999999995,7.334,3.2960000000000003,-0.183,-0.8340000000000001,-0.254,5.92,-1.444,2.279,1.709,2.309,0.183,0.6920000000000001,-0.102,2.8280000000000003,-2.228,-1.617,3.448,-1.038,-0.498,-0.987,-0.071,0.22399999999999998,0.946,-0.732,-1.272,0.987,-1.729,-4.242,-1.3730000000000002,-1.8619999999999999,-0.387,3.245,3.52
20,2.309,4.5169999999999995,1.3730000000000002,-0.6,3.377,4.638999999999999,2.93,3.448,3.042,0.081,-0.773,1.709,1.851,-0.58,-1.76,-9.949,0.193,1.088,-1.2,-1.841,-0.977,-0.539,-2.34,-1.6280000000000001,-3.215,-2.411,-0.997,-1.892,-4.252,-0.35600000000000004,0.9359999999999999,5.381,0.8540000000000001,1.2819999999999998,0.142,0.722,6.409,-0.956,2.767,2.197,2.309,0.183,0.203,1.3630000000000002,3.3160000000000003,-2.228,-1.129,3.937,-1.038,-0.498,-0.498,0.905,0.22399999999999998,0.45799999999999996,-0.732,-1.272,1.475,-2.218,-4.242,-1.3730000000000002,-2.35,-0.387,3.245,3.031
21,1.3330000000000002,3.54,0.397,0.865,2.401,4.15,1.953,2.96,2.553,0.081,-0.773,1.2209999999999999,1.3630000000000002,-0.58,-0.7829999999999999,-11.414000000000001,-0.295,0.11199999999999999,-0.7120000000000001,-2.33,-0.488,-0.539,-1.851,-1.139,-2.7260000000000004,-1.923,-0.02,-1.4040000000000001,-3.764,0.621,2.401,3.428,-1.587,0.7929999999999999,-1.3219999999999998,0.722,5.92,-0.956,2.279,1.2209999999999999,1.821,-0.305,0.203,1.3630000000000002,2.8280000000000003,-1.74,-0.6409999999999999,3.448,-1.038,-0.498,0.478,1.882,0.22399999999999998,0.45799999999999996,0.732,-0.295,1.475,-1.2409999999999999,-3.7539999999999996,-0.885,-1.3730000000000002,-0.387,2.2680000000000002,2.055
22,-1.109,1.587,0.885,-0.11199999999999999,0.9359999999999999,2.197,0.977,1.495,0.6,-1.383,-2.238,0.732,0.387,-1.556,0.682,-12.878,-0.7829999999999999,-0.865,-0.7120000000000001,-3.7939999999999996,0.0,0.43700000000000006,-1.3630000000000002,-1.139,-2.238,-1.923,0.956,-0.42700000000000005,-2.787,1.109,3.866,1.963,-3.54,-0.6709999999999999,-4.252,-0.743,4.456,-1.444,0.8140000000000001,0.244,0.35600000000000004,-1.2819999999999998,-0.773,-0.102,1.3630000000000002,-1.74,-0.153,1.984,-1.038,-1.475,1.455,0.905,0.22399999999999998,0.45799999999999996,1.709,0.193,0.498,-0.264,-2.7769999999999997,-0.397,-0.885,0.102,1.2919999999999998,1.078
